Item;Part Number;Manufacturer;Description;Qty;Total Price (USD)
1;FYL-5012PD1C-TR8.3;FORYARD;PHOTO DIODE 20MA 5MM BLUE TAPE REEL SIZE 8.3;8; $1,07 
2;LTE-4208;LITEON;LED INFRARED 5MM LITEON;8; $1,23 
3;CFR25SJT-26A1K;YAGEO;RES.C.FILM 1/4W-S 1K Ohms ±5% THT;20; $0,22 
4;CFR0W4J0181A50;ROYALOHM;RES.C.FILM 1/4W 180 Ohms 5% THT;20; $0,26 
5;CFR0W4J0104A50;ROYALOHM;RES.C.FILM 1/4W 100K Ohms 5% THT;20; $0,26 
6;2N7002_R1_00001;PANJIT;MOSFET DIS.250mA 60V N-CH SOT23 SMT;10; $0,21 
7;RD-1/4W-680J-ALP;ALP;RES.C.FILM 1/4W 68 Ohms 5% THT;20; $0,32 
8;CFR25SJT-26A10K;YAGEO;RES.C.FILM 1/4W-S 10K Ohms 5% THT;20; $0,23 
9;CFR0W4J0101A50;ROYALOHM;RES.C.FILM 1/4W 100 Ohms 5% THT;20; $0,26 
10;CFR0W4J0683A50;ROYALOHM;RES.C.FILM 1/4W 68K Ohms 5% THT;20; $0,26 
11;CL31C220JBCNNNC;SAMSUNG;MLCC (3216) 1206 22pF 50VDC 5% COG (NP0) SMT;20; $0,97 
12;MKT0805B104K500PF3R;KINGTRONICS;CAP.M/L 100nF 50VDC 10% 5.08mm X7R Radial THT;40; $1,09 
13;DELİKLİ PERTİNAKS 5X10;OZD-ARDUINO;PCB DELİKLİ PERTİNAKS FR4 TEK YÜZLÜ 5x10 CM;2; $0,96 
14;3386F-1-204LF-BN;BONENS;TRIMPOT CERMET SINGLE TURN VER.ADJ 200K 0.5W;10; $1,68 
15;3386F-1-201LF-BN;BONENS;TRIMPOT CERMET SINGLE TURN VER.ADJ 200R 0.5W;15; $2,65 
16;SD1E106M05011PA;SAMWHA;CAP.ALU 10uF 25V 5x11 5mm 20% 2000 Hrs @ 85 °C Radial Electrolytic THT;10; $0,40 
17;MF0W4FF470JA50;ROYALOHM;RES.M.FILM 1/4W 47 Ohms 1% THT;20; $0,34 
18;HL-PST-1608H203BC;HONGLITRONIC;LED SMD 0603 BLUE 100mcd 120° WATER CLEAR;20; $0,33 
19;19-213SURC/S530-A3/TR8;EVERLIGHT;LED SMD 0603 RED 54mcd 120° WATER CLEAR;10; $0,45 
20;TLV9062IDR;TEXAS;IC-9062 OPAMP GP RR 10MHZ 8SOIC;10; $2,83 
21;Shipping cost;-;Shipping ;1; $4,13 
;;;TOTAL;;16,01 USD
